mode,group,full_edge,context_edge,changed_edge,add,delete,delta_full_edge_vs_step9c,delta_context_edge_vs_step9c,delta_changed_edge_vs_step9c,delta_add_vs_step9c,delta_delete_vs_step9c,false_scope_preserve_rate,true_changed_correct_rate,actual_keep_fraction,chooser_target_precision_among_kept,chooser_target_recall,gt_changed_precision_among_kept,gt_false_scope_fraction_among_kept,chosen_correct_rate_on_rescued
base,overall,0.9688921784182685,0.982779202405164,0.07275320970042796,0.021994134897360705,0.12083333333333333,0.01142869582253958,0.01210319214784683,-0.03209700427960056,-0.02346041055718475,-0.04027777777777779,,,,,,,,
step9c_completion_only,overall,0.9574634825957289,0.9706760102573172,0.10485021398002853,0.045454545454545456,0.16111111111111112,0.0,0.0,0.0,0.0,0.0,0.768557380980933,0.3193916349809886,,,,,,
step17_thresholded_gate,overall,0.9688921784182685,0.982779202405164,0.07275320970042796,0.021994134897360705,0.12083333333333333,0.01142869582253958,0.01210319214784683,-0.03209700427960056,-0.02346041055718475,-0.04027777777777779,1.0,0.0,0.0,,0.0,,,0.9722486018782315
step18_topk_keep_0p02,overall,0.9688921784182685,0.982779202405164,0.07275320970042796,0.021994134897360705,0.12083333333333333,0.01142869582253958,0.01210319214784683,-0.03209700427960056,-0.02346041055718475,-0.04027777777777779,1.0,0.0,0.020048538567057086,0.0,0.0,0.042105263157894736,0.9578947368421052,0.9722486018782315
step18_topk_keep_0p05,overall,0.9689030628904804,0.982779202405164,0.07346647646219687,0.02346041055718475,0.12083333333333333,0.011439580294751561,0.01210319214784683,-0.03138373751783166,-0.021994134897360705,-0.04027777777777779,1.0,0.0038022813688212928,0.04991030916956843,0.0021141649048625794,0.011904761904761904,0.02536997885835095,0.9746300211416491,0.9723541205022687
step18_topk_keep_0p1,overall,0.9669656268367547,0.9807233177115572,0.07917261055634807,0.03519061583577713,0.12083333333333333,0.0095021442410258,0.010047307454239984,-0.02567760342368046,-0.010263929618768326,-0.04027777777777779,0.9731382659791342,0.045627376425855515,0.10003165558721114,0.012658227848101266,0.14285714285714285,0.03270042194092827,0.9672995780590717,0.9498786535823572
step18_topk_keep_0p2,overall,0.9623179572022552,0.9758267751348484,0.0905848787446505,0.045454545454545456,0.13333333333333333,0.004854474606526327,0.005150764877531189,-0.014265335235378027,0.0,-0.02777777777777779,0.8709677419354839,0.16730038022813687,0.19995779255038515,0.02321899736147757,0.5238095238095238,0.03430079155672823,0.9488126649076517,0.8603988603988604
step9c_oracle_false_scope_fallback,overall,0.968805102640573,0.9821933857989212,0.10485021398002853,0.045454545454545456,0.16111111111111112,0.01134162004484407,0.011517375541604036,0.0,0.0,0.0,1.0,0.3193916349809886,,,,,,
oracle_choose_better_of_two_paths,overall,0.9693819796678059,0.982779202405164,0.10485021398002853,0.045454545454545456,0.16111111111111112,0.011918497072077039,0.01210319214784683,0.0,0.0,0.0,1.0,0.3193916349809886,0.008863564419119974,1.0,1.0,1.0,0.0,0.9811121662973514
ranking_diagnostics,overall,,,,,,,,,,,,,,0.02058618976956322,0.8021867854988264,,,
