mode,group,full_edge,context_edge,changed_edge,add,delete,delta_full_edge_vs_step9c,delta_context_edge_vs_step9c,delta_changed_edge_vs_step9c,delta_add_vs_step9c,delta_delete_vs_step9c,false_scope_preserve_rate,true_changed_correct_rate,actual_keep_fraction,chooser_target_precision_among_kept,chooser_target_recall,gt_changed_precision_among_kept,gt_false_scope_fraction_among_kept,chosen_correct_rate_on_rescued
base,overall,0.8742081546465812,0.8835551330798479,0.2710413694721826,0.09579667644183773,0.43703703703703706,0.03335365101479559,0.03532584667079319,-0.0939134569662387,-0.1857282502443793,-0.00694444444444442,,,,,,,,
step9c_completion_only,overall,0.8408545036317856,0.8482292864090547,0.3649548264384213,0.28152492668621704,0.4439814814814815,0.0,0.0,0.0,0.0,0.0,0.31033219792696776,0.7895299145299145,,,,,,
step17_thresholded_gate,overall,0.8742081546465812,0.8835551330798479,0.2710413694721826,0.09579667644183773,0.43703703703703706,0.03335365101479559,0.03532584667079319,-0.0939134569662387,-0.1857282502443793,-0.00694444444444442,0.9394938285170128,0.03205128205128205,0.0,,0.0,,,0.9081710709318498
step18_topk_keep_0p02,overall,0.873489779480593,0.8827924661773808,0.2731811697574893,0.09579667644183773,0.4412037037037037,0.03263527584880743,0.034563179768326124,-0.09177365668093201,-0.1857282502443793,-0.002777777777777768,0.9252096839175182,0.05128205128205128,0.020027816411682893,0.15625,0.058027079303675046,0.03125,0.9270833333333334,0.8944019471488178
step18_topk_keep_0p05,overall,0.8724557546204584,0.8817203112565214,0.2746077032810271,0.09530791788856305,0.4444444444444444,0.031601250988672835,0.03349102484746669,-0.09034712315739418,-0.186217008797654,0.0004629629629629428,0.9055781415961616,0.0641025641025641,0.05,0.16411682892906815,0.1521598968407479,0.02364394993045897,0.9276773296244785,0.8745827538247566
step18_topk_keep_0p1,overall,0.8703623077983615,0.8794654699796622,0.28292914883499765,0.1104594330400782,0.4462962962962963,0.029507804166575946,0.031236183570607534,-0.08202567760342366,-0.17106549364613882,0.002314814814814825,0.8617001794674578,0.1388888888888889,0.1,0.13143254520166897,0.2437137330754352,0.03616133518776078,0.9290681502086231,0.8344575799721836
step18_topk_keep_0p2,overall,0.8659069305062731,0.8747420933180063,0.29576795054683785,0.13685239491691104,0.4462962962962963,0.0250524268744875,0.026512806908951636,-0.06918687589158345,-0.144672531769306,0.002314814814814825,0.7676445811815551,0.25427350427350426,0.2,0.10222531293463143,0.379110251450677,0.0368567454798331,0.9450625869262865,0.7490611961057023
step9c_oracle_false_scope_fallback,overall,0.8755977389323059,0.8835109205057918,0.3649548264384213,0.28152492668621704,0.4439814814814815,0.03474323530052026,0.035281634096737124,0.0,0.0,0.0,0.9394938285170128,0.7895299145299145,,,,,,
oracle_choose_better_of_two_paths,overall,0.8773319981714087,0.8852499484186636,0.3663813599619591,0.2820136852394917,0.4462962962962963,0.03647749453962312,0.03702066200960885,0.0014265335235377763,0.0004887585532746819,0.002314814814814825,0.9676592315862725,0.8023504273504274,0.05392906815020862,1.0,1.0,0.46486137975499675,0.49580915538362347,0.9621001390820584
ranking_diagnostics,overall,,,,,,,,,,,,,,0.11135134275769665,0.709445325897329,,,
