section,group,count,full_edge,context_edge,changed_edge,add,delete,full_type,state_mae,proposal_node_scope_recall,proposal_edge_scope_recall,proposal_edge_scope_excess_ratio,proposal_out_of_scope_miss_edge
overall_final,overall,600,0.9573665223665224,0.9665560396393731,0.11409395973154363,0.012578616352201259,0.2302158273381295,0.9791565656565656,0.06190422496584053,0.8910505836575876,0.27070063694267515,0.8657894736842106,0.8456375838926175
overall_all_steps,overall,1800,0.9536699134199134,0.9632646304312971,0.12150537634408602,0.023109243697478993,0.22466960352422907,0.9768996913580247,0.06323399032496949,0.9051667756703728,0.2906350914962325,0.8666447151794534,0.832258064516129
by_dependency_bucket_final,fully_independent,200,0.9565627705627706,0.9684638787138787,0.15602836879432624,0.015384615384615385,0.27631578947368424,0.9893585858585858,0.05934951108615055,0.8235294117647058,0.2577777777777778,0.9073482428115016,0.8156028368794326
by_dependency_bucket_final,partially_dependent,200,0.9579076479076479,0.9690051522551522,0.09649122807017543,0.0,0.18333333333333332,0.9785479797979798,0.06030888061607351,0.9111111111111111,0.21694915254237288,0.8907849829351536,0.8508771929824561
by_dependency_bucket_final,strongly_interacting,200,0.9576291486291487,0.9621990879490879,0.023255813953488372,0.025,0.0,0.9695631313131312,0.06605428319529753,0.9212218649517685,0.31516587677725116,0.8066860465116279,0.9302325581395349
by_dependency_bucket_all_steps,fully_independent,600,0.9536142376142376,0.9646726915060247,0.12162162162162163,0.021621621621621623,0.22162162162162163,0.981081228956229,0.06067505366700742,0.8779783393501805,0.2789808917197452,0.8890577507598785,0.845945945945946
by_dependency_bucket_all_steps,partially_dependent,600,0.9556142376142376,0.9655953953453953,0.10793650793650794,0.006666666666666667,0.2,0.9778430134680135,0.06372562319154126,0.9039098740888005,0.2717271727172717,0.8730077120822622,0.8380952380952381
by_dependency_bucket_all_steps,strongly_interacting,600,0.951781265031265,0.9595258044424712,0.13877551020408163,0.0425531914893617,0.2692307692307692,0.9717748316498317,0.06530129411635976,0.928529238038984,0.31473010064043916,0.8403712296983759,0.8040816326530612
by_event_type_all_steps,edge_add,476,0.9425098827409751,0.9630192170108136,0.023109243697478993,0.023109243697478993,,0.9960322765469825,0.058615764330973916,0.8865546218487395,0.029411764705882353,0.9911727616645649,0.9705882352941176
by_event_type_all_steps,edge_delete,454,0.9478815848859902,0.9644191344631873,0.22466960352422907,,0.22466960352422907,0.9982334356783695,0.05739258365924091,0.9174008810572687,0.31277533039647576,0.9052069425901201,0.6872246696035242
by_event_type_all_steps,motif_type_flip,383,0.9679418202916897,0.9679418202916897,,,,0.9030448083972887,0.05882205730670835,0.9521322889469104,0.4046997389033943,0.7574334898278561,
by_event_type_all_steps,node_state_update,487,0.9587498629593086,0.9587498629593086,,,,0.996394126065584,0.07666323990479841,0.8751584283903675,0.3153070577451879,0.7990654205607477,
by_corruption_setting_final,clean,600,0.9573665223665224,0.9665560396393731,0.11409395973154363,0.012578616352201259,0.2302158273381295,0.9791565656565656,0.06190422496584053,0.8910505836575876,0.27070063694267515,0.8657894736842106,0.8456375838926175
by_corruption_setting_all_steps,clean,1800,0.9536699134199134,0.9632646304312971,0.12150537634408602,0.023109243697478993,0.22466960352422907,0.9768996913580247,0.06323399032496949,0.9051667756703728,0.2906350914962325,0.8666447151794534,0.832258064516129
