section,group,count,full_edge,context_edge,changed_edge,add,delete,full_type,state_mae,proposal_node_scope_recall,proposal_edge_scope_recall,proposal_edge_scope_excess_ratio,proposal_out_of_scope_miss_edge
overall_final,overall,1800,0.8754438031104698,0.8820924651480206,0.25727069351230425,0.1111111111111111,0.4244604316546763,0.9795218855218856,0.11769069645981964,0.972546476437527,0.7094833687190375,0.9132522822653918,0.5480984340044743
overall_all_steps,overall,5400,0.8730161535994869,0.8799729492044307,0.26559139784946234,0.11204481792717087,0.4265785609397944,0.9779471099887768,0.11842523975499472,0.9718770438194899,0.7072120559741658,0.9156213879018794,0.5311827956989248
by_dependency_bucket_final,fully_independent,600,0.8764847282347282,0.885489217572551,0.2624113475177305,0.08205128205128205,0.4166666666666667,0.9901906565656566,0.11651517103603642,0.9545098039215686,0.5896296296296296,0.9496775825009482,0.5319148936170213
by_dependency_bucket_final,partially_dependent,600,0.8727883597883598,0.8799565773732442,0.30994152046783624,0.16666666666666666,0.4388888888888889,0.9783758417508418,0.11601840711608279,0.9804713804713805,0.7084745762711865,0.9196565863659661,0.45321637426900585
by_dependency_bucket_final,strongly_interacting,600,0.8770583213083213,0.880831600498267,0.10077519379844961,0.08333333333333333,0.3333333333333333,0.9699991582491583,0.12053851122733972,0.9785637727759914,0.7740916271721959,0.8675675675675676,0.8527131782945736
by_dependency_bucket_all_steps,fully_independent,1800,0.8749218374218375,0.8832195325250881,0.24594594594594596,0.0936936936936937,0.3981981981981982,0.9825025252525252,0.11709180110133977,0.9638989169675091,0.6543524416135881,0.935585001881035,0.5423423423423424
by_dependency_bucket_all_steps,partially_dependent,1800,0.8697639089305755,0.8767030747030747,0.273015873015873,0.12,0.4121212121212121,0.9787180134680135,0.11804849481170393,0.9719461011707533,0.7158049138247158,0.9180004200798152,0.49417989417989416
by_dependency_bucket_all_steps,strongly_interacting,1800,0.8743627144460477,0.8799962403851292,0.2857142857142857,0.1276595744680851,0.5,0.9726207912457911,0.12013542335194052,0.9783421933451467,0.7380298871607197,0.8917177502349098,0.5619047619047619
by_event_type_all_steps,edge_add,1428,0.8587724483732887,0.8755914409275753,0.11204481792717087,0.11204481792717087,,0.9986409968027615,0.1132072668189151,0.9656862745098039,0.14565826330532214,0.9892104990144206,0.8543417366946778
by_event_type_all_steps,edge_delete,1362,0.8750333204077697,0.8849813195995281,0.4265785609397944,,0.4265785609397944,0.9980725018169951,0.11422458095108994,0.9761380323054332,0.8076358296622613,0.9359235742995282,0.19236417033773867
by_event_type_all_steps,motif_type_flip,1149,0.8803381320352599,0.8803381320352599,,,,0.9028988756142803,0.11655888892174755,0.9823034522773426,0.8520452567449956,0.8763966921280222,
by_event_type_all_steps,node_state_update,1461,0.8792992998331808,0.8792992998331808,,,,0.9979804893562595,0.12890915471121722,0.9655682298267849,0.8087381607088299,0.8512169074251026,
by_corruption_setting_final,N1,600,0.9007151274651274,0.9077865036198369,0.2516778523489933,0.10062893081761007,0.4244604316546763,0.9793741582491583,0.07841372223072983,0.9766536964980544,0.7314225053078556,0.9076902465166131,0.5369127516778524
by_corruption_setting_final,N2,600,0.8735511063011063,0.8803965324798658,0.2348993288590604,0.1069182389937107,0.381294964028777,0.9797525252525253,0.10518153135195024,0.9734111543450065,0.721868365180467,0.9125739264592441,0.5067114093959731
by_corruption_setting_final,N3,600,0.8520651755651756,0.8580943593443593,0.28523489932885904,0.12578616352201258,0.4676258992805755,0.9794389730639731,0.16947683579677886,0.9675745784695201,0.6751592356687898,0.9191970524710964,0.6006711409395973
by_corruption_setting_all_steps,N1,1800,0.8979551867885202,0.9054247203413871,0.24946236559139784,0.09243697478991597,0.41409691629955947,0.9778834175084175,0.07893470052154744,0.9777632439502943,0.7434517402224614,0.9086218302094818,0.5139784946236559
by_corruption_setting_all_steps,N2,1800,0.8722154481321148,0.8792703880481658,0.2537634408602151,0.10084033613445378,0.41409691629955947,0.9781940235690235,0.10552631889593052,0.9727490734684979,0.7086472909939002,0.9158679446219382,0.5193548387096774
by_corruption_setting_all_steps,N3,1800,0.8488778258778259,0.8552237392237392,0.29354838709677417,0.14285714285714285,0.45154185022026433,0.9777638888888889,0.17081469984750622,0.9651188140396774,0.6695371367061357,0.9220127888995695,0.5602150537634409
