section,group,count,full_edge,context_edge,changed_edge,add,delete,full_type,state_mae,proposal_node_scope_recall,proposal_edge_scope_recall,proposal_edge_scope_excess_ratio,proposal_out_of_scope_miss_edge
overall_final,overall,1800,0.8813185024851691,0.8881898924121147,0.2348993288590604,0.07966457023060797,0.41247002398081534,0.9795723905723905,0.11751984836029016,0.9628188499783831,0.6652512384996462,0.9086447349239516,0.5950782997762863
overall_all_steps,overall,5400,0.8785646143979478,0.8856199541199542,0.256989247311828,0.09873949579831932,0.42290748898678415,0.9779579124579124,0.11824063909955092,0.9620667102681492,0.666905872503289,0.9108111134215199,0.5627240143369175
by_dependency_bucket_final,fully_independent,600,0.882982202982203,0.8922550566717234,0.24113475177304963,0.046153846153846156,0.40789473684210525,0.9901906565656566,0.11642665214025061,0.9341176470588235,0.5481481481481482,0.9472483604220131,0.5768321513002364
by_dependency_bucket_final,partially_dependent,600,0.8789424001924002,0.8865007122507123,0.2807017543859649,0.1111111111111111,0.43333333333333335,0.9785273569023568,0.1156887082261369,0.9764309764309764,0.6610169491525424,0.9153645833333334,0.52046783625731
by_dependency_bucket_final,strongly_interacting,600,0.8820309042809044,0.8858139083139084,0.09302325581395349,0.09166666666666666,0.1111111111111111,0.9699991582491583,0.12044418471448298,0.9715969989281886,0.7306477093206951,0.8609649782053209,0.8527131782945736
by_dependency_bucket_all_steps,fully_independent,1800,0.8809827240660574,0.8892837317003984,0.24234234234234234,0.09009009009009009,0.3945945945945946,0.9824330808080808,0.11687206247265375,0.9494584837545126,0.6237791932059448,0.930909603988336,0.5666666666666667
by_dependency_bucket_all_steps,partially_dependent,1800,0.8756819384319384,0.8828162804273916,0.26031746031746034,0.09555555555555556,0.4101010101010101,0.978773569023569,0.1178636055765914,0.9646565054119726,0.6721672167216721,0.913362007846103,0.5386243386243386
by_dependency_bucket_all_steps,strongly_interacting,1800,0.8790291806958473,0.8847598502320725,0.2748299319727891,0.11347517730496454,0.4935897435897436,0.9726670875420875,0.11998624924940761,0.9700728489860209,0.6935041171088746,0.8868656716417911,0.5877551020408163
by_event_type_all_steps,edge_add,1428,0.8656440859171951,0.8827236268762879,0.09873949579831932,0.09873949579831932,,0.9986409968027615,0.11299296168324441,0.9516806722689075,0.11764705882352941,0.9901269393511989,0.8823529411764706
by_event_type_all_steps,edge_delete,1362,0.8801992020053695,0.8902647306465221,0.42290748898678415,,0.42290748898678415,0.9980725018169951,0.1139781851706868,0.9662261380323054,0.7723935389133627,0.9318608718181229,0.2276064610866373
by_event_type_all_steps,motif_type_flip,1149,0.8860362923026108,0.8860362923026108,,,,0.9031375548346827,0.11621272599094207,0.9767914128227444,0.8037423846823325,0.8684660304799886,
by_event_type_all_steps,node_state_update,1461,0.88379339498436,0.88379339498436,,,,0.9978327076376358,0.12893825563849012,0.9552175749894382,0.7665750076382524,0.8434028211209587,
by_corruption_setting_final,N1,600,0.9062864357864359,0.913563159063159,0.22818791946308725,0.06918238993710692,0.41007194244604317,0.9795256734006733,0.07816510461130327,0.9727626459143969,0.6985138004246284,0.9017910447761194,0.5805369127516778
by_corruption_setting_final,N2,600,0.8807246272246272,0.8877827357827357,0.21476510067114093,0.07547169811320754,0.37410071942446044,0.9797525252525253,0.10482840213450519,0.9617380025940337,0.6698513800424628,0.9087754806997254,0.5704697986577181
by_corruption_setting_final,N3,600,0.8569444444444444,0.8632237823904492,0.26174496644295303,0.09433962264150944,0.45323741007194246,0.9794389730639731,0.16956603833506204,0.9539559014267186,0.6273885350318471,0.9151106004021833,0.6342281879194631
by_corruption_setting_all_steps,N1,1800,0.9026659852493186,0.9102766071377183,0.23440860215053763,0.07352941176470588,0.40308370044052866,0.9779852693602694,0.0787063081769605,0.9701329845214738,0.7050592034445641,0.9037708129285015,0.553763440860215
by_corruption_setting_all_steps,N2,1800,0.8786422558922559,0.8858132371743483,0.24408602150537634,0.08823529411764706,0.40748898678414097,0.9781940235690235,0.10528381304227143,0.9638107695661653,0.6637961966271977,0.9117282183414448,0.553763440860215
by_corruption_setting_all_steps,N3,1800,0.8543856020522688,0.8607700180477958,0.2924731182795699,0.13445378151260504,0.4581497797356828,0.9776944444444444,0.1707317960794208,0.9522563767168084,0.6318622174381054,0.9167021427557827,0.5806451612903225
