section,mode,group,edge_recall,out_of_scope_miss_edge,scope_excess_ratio_edge,edge_pred_total,recall_recovery_fraction_vs_naive,cost_fraction_vs_naive,full_edge,changed_edge,context_edge,add,delete
proposal_overall,off,overall,0.20114122681883023,0.7988587731811697,0.9601413427561838,14150,,,,,,,
proposal_event_type,off,edge_add,0.0737913486005089,0.926208651399491,0.9737199818758495,4414,,,,,,,
proposal_event_type,off,edge_delete,0.3191747572815534,0.6808252427184466,0.8923895253682488,4888,,,,,,,
proposal_overall,naive_induced_closure,overall,0.8231098430813124,0.1768901569186876,0.9802667578659371,116960,,,,,,,
proposal_event_type,naive_induced_closure,edge_add,0.7824427480916031,0.21755725190839695,0.96723669490171,37542,,,,,,,
proposal_event_type,naive_induced_closure,edge_delete,0.8689320388349514,0.13106796116504854,0.963938554520272,39710,,,,,,,
proposal_overall,learned_gated_internal_completion,overall,0.39657631954350925,0.6034236804564908,0.9661244135746055,32826,0.3142201834862385,0.18165548098434003,,,,,
proposal_event_type,learned_gated_internal_completion,edge_add,0.20229007633587787,0.7977099236641222,0.9696042821640222,10462,0.1813285457809695,0.18256459792320695,,,,,
proposal_event_type,learned_gated_internal_completion,edge_delete,0.5934466019417476,0.4065533980582524,0.9117806242107163,11086,0.49889624724061815,0.17799092527712365,,,,,
downstream_overall,off,overall,,,,,,,0.9688921784182685,0.07275320970042796,0.982779202405164,0.021994134897360705,0.12083333333333333
downstream_overall,naive_induced_closure,overall,,,,,,,0.8374839454034874,0.2845934379457917,0.8460518171367937,0.38563049853372433,0.18888888888888888
downstream_overall,learned_gated_internal_completion,overall,,,,,,,0.9451313755795981,0.14550641940085593,0.9575227694756389,0.07917888563049853,0.20833333333333334
