section,mode,group,edge_recall,out_of_scope_miss_edge,scope_excess_ratio_edge,edge_pred_total,recall_recovery_fraction_vs_naive,cost_fraction_vs_naive,full_edge,changed_edge,context_edge,add,delete
proposal_overall,off,overall,0.48097955301949596,0.5190204469805041,0.9723946890820517,146566,,,,,,,
proposal_event_type,off,edge_add,0.2222222222222222,0.7777777777777778,0.9778097738629626,47228,,,,,,,
proposal_event_type,off,edge_delete,0.7309870550161812,0.2690129449838188,0.927418059125964,49792,,,,,,,
proposal_overall,naive_induced_closure,overall,0.9479315263908702,0.05206847360912981,0.982587010355204,457934,,,,,,,
proposal_event_type,naive_induced_closure,edge_add,0.9372349448685326,0.06276505513146735,0.9700493305144468,147576,,,,,,,
proposal_event_type,naive_induced_closure,edge_delete,0.9591423948220065,0.04085760517799353,0.9698725523831306,157398,,,,,,,
proposal_overall,learned_gated_internal_completion,overall,0.495244888254874,0.504755111745126,0.9720500228108311,149052,0.03054989816700613,0.007984121682382262,,,,,
proposal_event_type,learned_gated_internal_completion,edge_add,0.2455470737913486,0.7544529262086515,0.9758508508508509,47952,0.03262158956109136,0.007214892175230199,,,,,
proposal_event_type,learned_gated_internal_completion,edge_delete,0.7366504854368932,0.2633495145631068,0.9281259867382381,50672,0.024822695035460817,0.008177982640373213,,,,,
downstream_overall,off,overall,,,,,,,0.8754634971083586,0.2622444127436995,0.8849662510684705,0.08944281524926687,0.42592592592592593
downstream_overall,naive_induced_closure,overall,,,,,,,0.7412216731610685,0.3640038040893961,0.7470672325876145,0.4579667644183773,0.275
downstream_overall,learned_gated_internal_completion,overall,,,,,,,0.8726407906480614,0.2738944365192582,0.8819192678397736,0.11241446725317693,0.42685185185185187
