section,mode,group,edge_recall,out_of_scope_miss_edge,edge_pred_total,recall_recovery_fraction_vs_naive,cost_fraction_vs_naive,changed_edge,context_edge,add,delete
frontier_overall,off,overall,0.20114122681883023,0.7988587731811697,14150,,,0.07275320970042796,0.982779202405164,0.021994134897360705,0.12083333333333333
frontier_event_type,off,edge_add,0.0737913486005089,0.926208651399491,4414,,,0.03689567430025445,0.9842590980323872,0.021994134897360705,0.1346153846153846
frontier_event_type,off,edge_delete,0.3191747572815534,0.6808252427184466,4888,,,0.10922330097087378,0.9831833796826436,0.028846153846153848,0.12083333333333333
frontier_overall,learned_default_threshold_0.5,overall,0.39657631954350925,0.6034236804564908,32826,0.3142201834862385,0.18165548098434003,0.14550641940085593,0.9575227694756389,0.07917888563049853,0.20833333333333334
frontier_event_type,learned_default_threshold_0.5,edge_add,0.20229007633587787,0.7977099236641222,10462,0.1813285457809695,0.18256459792320695,0.09796437659033079,0.9603691450461431,0.07917888563049853,0.22115384615384615
frontier_event_type,learned_default_threshold_0.5,edge_delete,0.5934466019417476,0.4065533980582524,11086,0.49889624724061815,0.17799092527712365,0.1941747572815534,0.9595288728938328,0.09615384615384616,0.20833333333333334
frontier_overall,learned_budget_0.02,overall,0.21540656205420827,0.7845934379457917,15261,0.022935779816513773,0.01080634179554518,0.07346647646219687,0.9821823326554072,0.02346041055718475,0.12083333333333333
frontier_event_type,learned_budget_0.02,edge_add,0.07760814249363868,0.9223918575063613,4785,0.005385996409335736,0.01119898575223376,0.03816793893129771,0.9837367229670904,0.02346041055718475,0.1346153846153846
frontier_event_type,learned_budget_0.02,edge_delete,0.3428398058252427,0.6571601941747572,5262,0.043046357615893975,0.010740336568835794,0.10922330097087378,0.982692622280386,0.028846153846153848,0.12083333333333333
frontier_overall,learned_budget_0.05,overall,0.25178316690442226,0.7482168330955777,18432,0.08142201834862388,0.04164964497616963,0.08630527817403709,0.9780152975506234,0.03372434017595308,0.1361111111111111
frontier_event_type,learned_budget_0.05,edge_add,0.09669211195928754,0.9033078880407125,5799,0.03231597845601438,0.041807534411977786,0.04834605597964377,0.9803586975448372,0.03372434017595308,0.14423076923076922
frontier_event_type,learned_budget_0.05,edge_delete,0.39745145631067963,0.6025485436893204,6333,0.1423841059602649,0.04149675492504738,0.12378640776699029,0.9783739571405202,0.038461538461538464,0.1361111111111111
frontier_overall,learned_budget_0.10,overall,0.2949358059914408,0.7050641940085592,23627,0.150802752293578,0.09217974905164868,0.10485021398002853,0.9706760102573172,0.045454545454545456,0.16111111111111112
frontier_event_type,learned_budget_0.10,edge_add,0.12595419847328243,0.8740458015267175,7472,0.07360861759425494,0.09230862110601304,0.061068702290076333,0.973080271635034,0.045454545454545456,0.16346153846153846
frontier_event_type,learned_budget_0.10,edge_delete,0.4575242718446602,0.5424757281553398,8089,0.25165562913907286,0.09192464533915341,0.14684466019417475,0.9716342221495174,0.04807692307692308,0.16111111111111112
frontier_overall,learned_budget_0.20,overall,0.39194008559201143,0.6080599144079886,33919,0.30676605504587157,0.19228674253477288,0.14621968616262482,0.9523941108851357,0.08797653958944282,0.2013888888888889
frontier_event_type,learned_budget_0.20,edge_add,0.19720101781170485,0.8027989821882952,10790,0.17414721723518856,0.19246558802221686,0.10559796437659033,0.9570607696325962,0.08797653958944282,0.22115384615384615
frontier_event_type,learned_budget_0.20,edge_delete,0.5807038834951457,0.4192961165048544,11568,0.47571743929359833,0.19183274941129172,0.18689320388349515,0.952985440863733,0.08653846153846154,0.2013888888888889
frontier_overall,naive_induced_closure,overall,0.8231098430813124,0.1768901569186876,116960,,,0.2845934379457917,0.8460518171367937,0.38563049853372433,0.18888888888888888
frontier_event_type,naive_induced_closure,edge_add,0.7824427480916031,0.21755725190839695,37542,,,0.361323155216285,0.8481629810203726,0.38563049853372433,0.20192307692307693
frontier_event_type,naive_induced_closure,edge_delete,0.8689320388349514,0.13106796116504854,39710,,,0.2111650485436893,0.8456731555700965,0.36538461538461536,0.18888888888888888
separability_event_type,scores,edge_add,,,33128,0.06490970497855003,0.6464729320931526,0.037003974298172405,0.5800293946802224,,
separability_event_type,scores,edge_delete,,,34822,0.10411436499618902,0.8022690265006961,0.07171738647730408,0.7860264822557327,,
