section,mode,group,edge_recall,out_of_scope_miss_edge,edge_pred_total,recall_recovery_fraction_vs_naive,cost_fraction_vs_naive,changed_edge,context_edge,add,delete
frontier_overall,off,overall,0.48097955301949596,0.5190204469805041,146566,,,0.2622444127436995,0.8849662510684705,0.08944281524926687,0.42592592592592593
frontier_event_type,off,edge_add,0.2222222222222222,0.7777777777777778,47228,,,0.13061916878710772,0.8833826687561669,0.08944281524926687,0.40064102564102566
frontier_event_type,off,edge_delete,0.7309870550161812,0.2690129449838188,49792,,,0.38470873786407767,0.8898304160532199,0.09935897435897435,0.42592592592592593
frontier_overall,learned_default_threshold_0.5,overall,0.495244888254874,0.504755111745126,149052,0.03054989816700613,0.007984121682382262,0.2738944365192582,0.8819192678397736,0.11241446725317693,0.42685185185185187
frontier_event_type,learned_default_threshold_0.5,edge_add,0.2455470737913486,0.7544529262086515,47952,0.03262158956109136,0.007214892175230199,0.15097540288379982,0.8810261767949388,0.11241446725317693,0.40384615384615385
frontier_event_type,learned_default_threshold_0.5,edge_delete,0.7366504854368932,0.2633495145631068,50672,0.024822695035460817,0.008177982640373213,0.3883495145631068,0.8865587000381701,0.12179487179487179,0.42685185185185187
frontier_overall,learned_budget_0.02,overall,0.4925106990014265,0.5074893009985735,149836,0.0246945010183299,0.010502042599111019,0.2769852591535901,0.8792480914905533,0.12072336265884653,0.425
frontier_event_type,learned_budget_0.02,edge_add,0.23918575063613232,0.7608142493638677,48286,0.023724792408066447,0.010543309283692749,0.15776081424936386,0.8779964014162168,0.12072336265884653,0.40064102564102566
frontier_event_type,learned_budget_0.02,edge_delete,0.7370550161812298,0.26294498381877024,50920,0.026595744680851293,0.010482686839023847,0.38673139158576053,0.883864987185779,0.12179487179487179,0.425
frontier_overall,learned_budget_0.05,overall,0.5328102710413695,0.46718972895863053,159458,0.11099796334012217,0.04140438323784076,0.3119353304802663,0.8675317593656969,0.18866080156402737,0.4287037037037037
frontier_event_type,learned_budget_0.05,edge_add,0.30216284987277353,0.6978371501272265,51387,0.11180308422301306,0.041445768724837566,0.21670907548770144,0.8676301584537698,0.18866080156402737,0.40064102564102566
frontier_event_type,learned_budget_0.05,edge_delete,0.7560679611650486,0.24393203883495146,54267,0.10992907801418467,0.04158690035871606,0.39805825242718446,0.871083483286984,0.1858974358974359,0.4287037037037037
frontier_overall,learned_budget_0.10,overall,0.5922491678554446,0.4077508321445554,175326,0.23828920570264758,0.09236658873101924,0.3547313361864004,0.8493493382851416,0.26881720430107525,0.4361111111111111
frontier_event_type,learned_budget_0.10,edge_add,0.3933418150975403,0.6066581849024597,56510,0.23932384341637014,0.09249810658907004,0.2871077184054283,0.8504846479772477,0.26881720430107525,0.40705128205128205
frontier_event_type,learned_budget_0.10,edge_delete,0.780542071197411,0.219457928802589,59742,0.21719858156028388,0.0924669628087653,0.4122168284789644,0.8521293418397949,0.2467948717948718,0.4361111111111111
frontier_overall,learned_budget_0.20,overall,0.6829529243937232,0.31704707560627676,206482,0.43253564154786145,0.1924282521004085,0.42082738944365194,0.8122623574144486,0.4002932551319648,0.44027777777777777
frontier_event_type,learned_budget_0.20,edge_add,0.5364715860899067,0.4635284139100933,66562,0.4395017793594307,0.19266951010483518,0.4003392705682782,0.8141853851065065,0.4002932551319648,0.40064102564102566
frontier_event_type,learned_budget_0.20,edge_delete,0.8224110032362459,0.17758899676375406,70497,0.400709219858156,0.19241492110105385,0.433252427184466,0.8138938873439119,0.38461538461538464,0.44027777777777777
frontier_overall,naive_induced_closure,overall,0.9479315263908702,0.05206847360912981,457934,,,0.3640038040893961,0.7470672325876145,0.4579667644183773,0.275
frontier_event_type,naive_induced_closure,edge_add,0.9372349448685326,0.06276505513146735,147576,,,0.42832909245122985,0.7482500435312555,0.4579667644183773,0.23397435897435898
frontier_event_type,naive_induced_closure,edge_delete,0.9591423948220065,0.04085760517799353,157398,,,0.2961165048543689,0.7439555046621953,0.4423076923076923,0.275
separability_event_type,scores,edge_add,,,100348,0.08779280060907368,0.7312702368312023,0.08173917903877521,0.7311748282291366,,
separability_event_type,scores,edge_delete,,,107606,0.026302566975792134,0.679888279737164,0.021392085028032883,0.6752595248590626,,
