section,mode,group,edge_recall,out_of_scope_miss_edge,edge_pred_total,recall_recovery_fraction_vs_naive,cost_fraction_vs_naive,changed_edge,context_edge,add,delete
frontier_overall,off,overall,0.48097955301949596,0.5190204469805041,146566,,,0.2710413694721826,0.8835551330798479,0.09579667644183773,0.43703703703703706
frontier_event_type,off,edge_add,0.2222222222222222,0.7777777777777778,47228,,,0.15012722646310434,0.8819200185733357,0.09579667644183773,0.5064102564102564
frontier_event_type,off,edge_delete,0.7309870550161812,0.2690129449838188,49792,,,0.39684466019417475,0.8882708980860461,0.11858974358974358,0.43703703703703706
frontier_overall,learned_default_threshold_0.5,overall,0.495244888254874,0.504755111745126,149052,0.03054989816700613,0.007984121682382262,0.2831669044222539,0.8806186812862912,0.12023460410557185,0.4375
frontier_event_type,learned_default_threshold_0.5,edge_add,0.2455470737913486,0.7544529262086515,47952,0.03262158956109136,0.007214892175230199,0.17133163698049195,0.8796331766208138,0.12023460410557185,0.5064102564102564
frontier_event_type,learned_default_threshold_0.5,edge_delete,0.7366504854368932,0.2633495145631068,50672,0.024822695035460817,0.008177982640373213,0.4000809061488673,0.8851954850318993,0.14102564102564102,0.4375
frontier_overall,learned_budget_0.10,overall,0.5922491678554446,0.4077508321445554,175326,0.23828920570264758,0.09236658873101924,0.3649548264384213,0.8482292864090547,0.28152492668621704,0.4439814814814815
frontier_event_type,learned_budget_0.10,edge_add,0.3933418150975403,0.6066581849024597,56510,0.23932384341637014,0.09249810658907004,0.31212892281594573,0.8497997562249695,0.28152492668621704,0.5128205128205128
frontier_event_type,learned_budget_0.10,edge_delete,0.780542071197411,0.219457928802589,59742,0.21719858156028388,0.0924669628087653,0.42192556634304207,0.850886089754076,0.2692307692307692,0.4439814814814815
frontier_overall,naive_induced_closure,overall,0.9479315263908702,0.05206847360912981,457934,,,0.30836899667142176,0.7992122793055678,0.3411534701857282,0.2773148148148148
frontier_event_type,naive_induced_closure,edge_add,0.9372349448685326,0.06276505513146735,147576,,,0.33163698049194235,0.8015903418654594,0.3411534701857282,0.2692307692307692
frontier_event_type,naive_induced_closure,edge_delete,0.9591423948220065,0.04085760517799353,157398,,,0.28762135922330095,0.7971317956268062,0.358974358974359,0.2773148148148148
separability_event_type,scores,edge_add,,,100348,0.08779280060907368,0.7312702368312023,0.08173917903877521,0.7311748282291366,,
separability_event_type,scores,edge_delete,,,107606,0.026302566975792134,0.679888279737164,0.021392085028032883,0.6752595248590626,,
